"Madrid,""40.4167,-3.7038"""
"Alcala de Henares,""40.4811,-3.3592"""
"Mostoles,""40.3259,-3.8643"""
"Fuenlabrada,""40.2828,-3.8229"""
"Getafe,""40.3061,-3.7317"""
"Alcorcon,""40.3475,-3.8325"""
"Torrejon de Ardoz,""40.4578,-3.4739"""
"Parla,""40.2369,-3.7711"""
"Alcobendas,""40.545,-3.6289"""
"Las Rozas de Madrid,""40.4961,-3.9161"""
"San Sebastian de los Reyes,""40.5447,-3.6192"""
"Rivas-Vaciamadrid,""40.3542,-3.4789"""
"Majadahonda,""40.4725,-3.8797"""
"Valdemoro,""40.1772,-3.6975"""
